Company,Content,Operating Status,Description,Funding Status,Website,Last Funding Type,Company Type,Categories
PSYCHIATRY Lakeview,FOUND,active,"Psychiatry is a medical specialty which is devoted to the study, diagnoses, treatment, and prevention of mental disorders. PSYCHIATRY Near Lakeview provides a comprehensive range of tertiary-level psychiatric and psychological health services to our patients. Our programs offer a wide range of diagnostic and treatment services for conditions from...
Read More",N/A,claritychi.com/location/lakeview-il/,N/A,for profit,"biotechnology, health care"
Psychic Gurus,FOUND,active,How do psychics know about the future? Who is giving them this information? Does it come from them? Is this an ability? Is this a power? Is this a gift? Is this for real? PsychicGurus.org helps answer some of these top questions.,N/A,www.psychicgurus.org,N/A,for profit,"online portals, psychology, service industry"
Psychology Today,FOUND,active,"Psychology Today is devoted exclusively to everybody's favorite subject: ourselves. Founded in 1967, Psychology Today covers all aspects of human behavior and mental health, from the workings of the mind to the bonds between people and the larger cultural forces that drive our most intimate decisions.
Here at PsychologyToday.com we have...
Read More",N/A,www.psychologytoday.com,N/A,N/A,"medical, news, psychology"
Psychster,FOUND,active,"CEO of Psychster Inc., psychology of social media.",N/A,psychster.com,N/A,N/A,"consulting, psychology, social media"
PsycView,FOUND,active,"Founded in 2010, PsycView focuses on developing telemedicine applications for physicians and therapists. These applications are used to bridge the gap between physicians in cities who are lacking patients, and patients who live in underserved areas who would otherwise go untreated.
The initial research for the software began by surveying...
Read More",N/A,www.psycview.net,N/A,N/A,"b2b, health care, psychology, public relations, software, telecommunications"
PSYLIN NEUROSCIENCES,FOUND,active,"Psylin Neurosciences, Inc., a biotech company, engages in the discovery and development of peptide therapeutics for the treatment of psychiatric disorders. The company was incorporated in 2007 and is based in San Diego, California. Psylin Neurosciences, Inc. is a joint venture between Amylin Pharmaceuticals, Inc. and PsychoGenics, Inc.",N/A,www.psylin.com,venture - series unknown,N/A,"biotechnology, neuroscience, therapeutics"
psyML,FOUND,active,"Through the scientific disciplines of psychology, neuroscience, and data science, psyML builds meaningful and scalable knowledge and applications for creating positive-change. psyML works with both large and small operations to use these methods to better engage and understand their populations.",N/A,psyml.co/,N/A,for profit,"artificial intelligence, machine learning, natural language processing, predictive analytics, psychology"
PsyProblemss.net,FOUND,closed,"http://PsyProblems.net - a simple and convenient service online psychological counselling. Nowadays, the Internet can do almost anything - to order food, take a virtual love, make friends and old acquaintances. In Japan, there was even a special term for people who spend all their time in the network - a hikikomori. These people have...
Read More",N/A,psyproblems.net,N/A,for profit,"consulting, internet, psychology, video, video chat, video conferencing"
PSYCHIATRY Lakeview,FOUND,active,"Psychiatry is a medical specialty which is devoted to the study, diagnoses, treatment, and prevention of mental disorders. PSYCHIATRY Near Lakeview provides a comprehensive range of tertiary-level psychiatric and psychological health services to our patients. Our programs offer a wide range of diagnostic and treatment services for conditions from...
Read More",N/A,claritychi.com/location/lakeview-il/,N/A,for profit,"biotechnology, health care"
Psychic Gurus,FOUND,active,How do psychics know about the future? Who is giving them this information? Does it come from them? Is this an ability? Is this a power? Is this a gift? Is this for real? PsychicGurus.org helps answer some of these top questions.,N/A,www.psychicgurus.org,N/A,for profit,"online portals, psychology, service industry"
