Company,Content,Operating Status,Description,Funding Status,Website,Last Funding Type,Company Type,Categories
CloudMedx Inc,FOUND,active,"CloudMedx was started with the aim to make healthcare affordable, accessible and standardized for all patients and doctors. The foundation of the company is based on a near death experience that one of the founder's father experienced as a result of a misdiagnosis. CloudMedx uses NLP and deep learning to extract key clinical concepts from the...
Read More",N/A,www.cloudmedxhealth.com,venture - series unknown,for profit,"artificial intelligence, big data, health care, information technology, machine learning, natural language processing, neuroscience, personal health, predictive analytics"
CoachAi,FOUND,active,"CoachAi uses artificial intelligence and behavioral psychology to create lasting behavioral change.
CoachAi drastically improves health clubs’ member engagement and retention. Using proven behavioral science, CoachAi helps members achieve their fitness goals and make exercise into a regular part of their lives.",N/A,www.coachai.com/,N/A,for profit,"artificial intelligence, psychology, wellness"
COCO-MAT,FOUND,active,"COCO-MAT today is a recognised leader for natural sleep products, bed linen, towels and furniture for homes and hotels.
When they founded COCO-MAT back in 1989, they shared a common dream; offer blissful sleep to every person who sleeps on their beds, their pillows and their mattresses.
Using Nature’s wisdom as a guide and source of...
Read More",N/A,www.coco-mat.com/us_en,N/A,for profit,"consumer goods, lifestyle, manufacturing"
Cogisen,FOUND,active,"Cogisen develops artificial intelligence solutions. It offers SENCOGI, an eye-tracking software for smartphones/mobile phones.
Chiara Passacantilli and Christiaan Erik Rijnders founded Cogisen in 2009. Its headquarters is in Naples in Italy.",early stage venture,www.cogisen.com/,grant,for profit,"artificial intelligence, computer vision, image recognition, internet of things, neuroscience"
Cogmed,FOUND,active,"Cogmed is the leader in evidence-based training solutions for improved cognitive performance
Cogmed creates, validates, and markets products for individuals of all age levels allowing them to unlock their natural cognitive abilities by training their brain.
They believe that carefully designed, scientifically tested, and professionally...
Read More",N/A,www.cogmed.com/,N/A,for profit,"education, fitness, health care, software"
Cognatory,FOUND,active,Cognatory is an educational technology (EdTech) company which is committed in improving the mental health and wealth of students using the latest advances in the science of learning.,N/A,N/A,N/A,for profit,"edtech, education, health care, knowledge management"
Cogniciti,FOUND,active,"We rely on our mental abilities to accomplish everything from creative problem solving to staying alert and focused. While central to our lives, little has been known about how the brain accomplishes its function. Recent advances in neuroscience, however, are revealing evidence of how the common concepts of memory, attention, motivation, and...
Read More",N/A,www.cogniciti.com,N/A,N/A,"biotechnology, health care, medical"
CogniFit,FOUND,active,"CogniFit is a revolutionary technology that lets you explore your brain, assess your cognitive abilities and train the skills that are important to you. You will instantly know how fit your brain is and what can be done to boost it.
The company uses patented, scientifically validated technology to develop and market software which enhances basic...
Read More",early stage venture,www.cognifit.com,series a,N/A,"artificial intelligence, education, fitness, health care, information technology, wellness"
Cognilab Technologies,FOUND,active,"Cognilab Technologies is an online laboratory for creating, crowdsourcing and sharing psychology experiments.
Cognilab is the world's first online laboratory for psychology research. Their service is 10x cheaper, faster and easier than using a physical lab for experiments.",seed,cognilab.com,seed,N/A,"psychology, universities"
Cognisess,FOUND,active,"Cognisess is the provider of people analytics software to business, via our enterprise talent platform. We leverage neuroscience, video profiling, game mechanics and data insight to transform a company’s understanding and performance of its most valuable asset – people.
Cognitive neuroscience is re-shaping our view of the brain and Cognisess...
Read More",N/A,www.cognisess.com,venture - series unknown,for profit,"analytics, artificial intelligence, b2b, human resources, neuroscience, psychology, recruiting, software"
Cognition Therapeutics,FOUND,active,"Cognition Therapeutics, Inc. is focused on the discovery and development of small molecule therapeutics targeting the toxic proteins that cause the cognitive decline associated with Alzheimer's disease and other degenerative diseases of the human brain. Toxic proteins play a crucial role in a large class of disease targets, and there are...
Read More",N/A,www.cogrx.com,grant,for profit,"biotechnology, life science, therapeutics"
Cognitive Algorithms Laboratory,FOUND,active,"CAL Labs investigates the foundations of human intelligence and functional capacity. It lays the groundwork for both weak and strong AI by incorporating both top-down and bottom-up approaches to the evolutionary mechanisms that led to behaviorally modern humans. Further research into the elements of cognition has immediate impact when using big...
Read More",N/A,N/A,N/A,for profit,"artificial intelligence, health care, neuroscience"
Cognitive Electronics,FOUND,active,"Cognitive Electronics was founded by Andrew Felch, Richard Granger, Mac Dougherty and Gregg Fairbrothers and was inspired by Andrew and Rick’s knowledge of human brain algorithms. This knowledge was put to use developing hardware that provides brain-like high performance and software programmability.",N/A,www.cognitive-electronics.com,venture - series unknown,N/A,"analytics, information services, information technology"
Cognixion,FOUND,active,"Cognixion™ is the revolutionary sensory communication system that enables people to communicate using a brain computer interface (BCI) that translates brainwaves directly into communication. Cognixion has been internationally recognized for its innovation and use of exponential technologies to solve a social and healthcare global challenge -...
Read More",seed,www.cognixion.com/,seed,for profit,"artificial intelligence, augmented reality, biotechnology, neuroscience, software"
Verge Genomics,FOUND,active,"Verge Genomics is looking to find cures for brain diseases. Alzheimers, ALS, and Parkinsons are complex diseases that usually involve a network of genes, as opposed to a single gene.",early stage venture,www.vergegenomics.com,series a,for profit,"genetics, health care"
Versus,NOT FOUND,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vic.ai,FOUND,active,"Vic.ai is a service that automates accounting and provides financial advice and support through the use of Artificial Intelligence (“A.I.”).
Research estimates a 94% chance that most of the accounting industry will be automated ($100bn Industry in the US).
Through more than 15 years experience in the Cloud Accounting space, and with access to...
Read More",seed,www.vic.ai,seed,for profit,"accounting, artificial intelligence, financial services, information services"
